epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.653,1.16612,3.69018,1.6801,0.40228,0.36756,0.29756,0.15907,1.47891,2.58694,2.14194,0.000100903,0.000100903,0.000100903
2,383.912,1.13482,2.66821,1.64288,0.50172,0.52367,0.49905,0.29141,1.38717,2.01593,1.99211,0.000197905,0.000197905,0.000197905
3,569.155,1.09383,2.28663,1.5826,0.62774,0.53232,0.56582,0.32518,1.39484,1.87203,1.96139,0.000290908,0.000290908,0.000290908
4,752.422,1.06938,2.08445,1.5511,0.67476,0.53583,0.61492,0.35052,1.42416,1.7449,1.93966,0.000285002,0.000285002,0.000285002
5,934.397,1.0451,1.90731,1.52225,0.68134,0.53827,0.63216,0.38114,1.33351,1.61259,1.88304,0.000279002,0.000279002,0.000279002
6,1119.37,1.02486,1.7834,1.50128,0.69624,0.5722,0.6611,0.3965,1.27721,1.5552,1.83796,0.000273003,0.000273003,0.000273003
7,1304.63,1.00748,1.70485,1.48329,0.70915,0.62873,0.68254,0.41624,1.26425,1.45388,1.80464,0.000267004,0.000267004,0.000267004
8,1489.35,0.99768,1.63092,1.47359,0.67223,0.63011,0.69186,0.42303,1.32924,1.40509,1.85179,0.000261004,0.000261004,0.000261004
9,1671.32,0.98246,1.55724,1.45714,0.69109,0.68489,0.73101,0.44986,1.25619,1.34234,1.80073,0.000255005,0.000255005,0.000255005
10,1854.33,0.97167,1.51036,1.4455,0.65507,0.72792,0.73711,0.4662,1.25341,1.27449,1.76834,0.000249005,0.000249005,0.000249005
11,2037.17,0.96443,1.45843,1.43996,0.64164,0.73732,0.73619,0.46087,1.25114,1.28476,1.78886,0.000243006,0.000243006,0.000243006
12,2220.28,0.95999,1.42622,1.43933,0.733,0.72998,0.76355,0.47528,1.23192,1.18358,1.75576,0.000237007,0.000237007,0.000237007
13,2402.44,0.9474,1.37789,1.42628,0.75098,0.7148,0.7731,0.48373,1.24985,1.17021,1.7595,0.000231007,0.000231007,0.000231007
14,2584.16,0.93977,1.34873,1.41755,0.73456,0.72616,0.76563,0.48997,1.22492,1.18867,1.75782,0.000225008,0.000225008,0.000225008
15,2763.7,0.92773,1.31241,1.40671,0.74199,0.73106,0.78064,0.50577,1.19243,1.13492,1.70989,0.000219008,0.000219008,0.000219008
16,2944.41,0.92082,1.27528,1.40356,0.77797,0.73133,0.77918,0.51107,1.18662,1.12283,1.69643,0.000213009,0.000213009,0.000213009
17,3123.46,0.91878,1.25368,1.4012,0.75292,0.76206,0.78717,0.50439,1.17907,1.08766,1.68797,0.00020701,0.00020701,0.00020701
18,3302.87,0.91093,1.23196,1.393,0.75444,0.7806,0.80645,0.52836,1.16374,1.08409,1.6701,0.00020101,0.00020101,0.00020101
